table,purpose,route,join_fields,treatment,priority,caveat
domains_display_name_alternatives,大领域其他名称,sources > works > topics > domains > domains_display_name_alternatives,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.domain=domains.id; domains.id=domains_display_name_alternatives.domain_id,按domain_id保留字典名称列表,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。
domains_fields,大领域与学科的层级对应,sources > works > topics > domains > domains_fields,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.domain=domains.id; domains.id=domains_fields.domain_id; domains_fields.field_id=fields.id,用于与fields.domain_id交叉核对的字典关系,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。
domains_ids,大领域外部编号,sources > works > topics > domains > domains_ids,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.domain=domains.id; domains.id=domains_ids.domain_id,按domain_id保留外部标识字典,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。
domains_siblings,大领域同层关系,sources > works > topics > domains > domains_siblings,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.domain=domains.id; domains.id=domains_siblings.domain_id; domains_siblings.sibling_id=domains.id,保留字典关系，不扩增期刊领域,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。 末端实体需要另取别名；同层关系不是期刊归属关系。
fields,主题所属的学科,sources > works > topics > fields,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.field=fields.id,建议：由已验证主要主题映射学科并汇总，尚未执行,next,核对fields.domain_id与topics.domain一致性；字典全局统计不可当期刊统计。
fields_display_name_alternatives,学科其他名称,sources > works > topics > fields > fields_display_name_alternatives,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.field=fields.id; fields.id=fields_display_name_alternatives.field_id,按field_id保留字典名称列表,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。
fields_ids,学科外部编号,sources > works > topics > fields > fields_ids,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.field=fields.id; fields.id=fields_ids.field_id,按field_id保留外部标识字典,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。
fields_siblings,学科同层关系,sources > works > topics > fields > fields_siblings,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.field=fields.id; fields.id=fields_siblings.field_id; fields_siblings.sibling_id=fields.id,保留字典关系，不扩增期刊学科,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。 末端实体需要另取别名；同层关系不是期刊归属关系。
fields_subfields,学科与子学科的层级对应,sources > works > topics > fields > fields_subfields,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.field=fields.id; fields.id=fields_subfields.field_id; fields_subfields.subfield_id=subfields.id,用于与subfields.field_id交叉核对的字典关系,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。
funders,论文资助者实体资料,sources > works > works_grants > funders,sources.id=works.primary_source_id; works.id=works_grants.work_id; works_grants.funder_id=funders.id,待可用资助关系后才能定义期刊资助汇总；尚未执行,blocked,works_grants在保存快照为空；不能根据主办机构或实体角色猜测期刊论文资助者。
funders_alternate_titles,资助者其他名称,sources > works > works_grants > funders > funders_alternate_titles,sources.id=works.primary_source_id; works.id=works_grants.work_id; works_grants.funder_id=funders.id; funders.id=funders_alternate_titles.funder_id,待资助桥梁数据后作为字典或参考列表，尚未执行,blocked,works_grants为空使期刊资助路径中断；名称只能作字典，不自动作为可靠匹配键。
funders_concepts,资助者整体概念分布,sources > works > works_grants > funders > funders_concepts,sources.id=works.primary_source_id; works.id=works_grants.work_id; works_grants.funder_id=funders.id; funders.id=funders_concepts.funder_id,待资助桥梁数据后作为字典或参考列表，尚未执行,blocked,works_grants为空使期刊资助路径中断；本表也为空；资助者概念不等于期刊论文的主题。
funders_counts_by_year,资助者整体年度统计,sources > works > works_grants > funders > funders_counts_by_year,sources.id=works.primary_source_id; works.id=works_grants.work_id; works_grants.funder_id=funders.id; funders.id=funders_counts_by_year.funder_id,待资助桥梁数据后作为字典或参考列表，尚未执行,blocked,works_grants为空使期刊资助路径中断；不能把资助者全局发文量当作该刊获资助论文数。
funders_roles,资助者其他实体角色,sources > works > works_grants > funders > funders_roles,sources.id=works.primary_source_id; works.id=works_grants.work_id; works_grants.funder_id=funders.id; funders.id=funders_roles.funder_id,待资助桥梁数据后作为字典或参考列表，尚未执行,blocked,works_grants为空使期刊资助路径中断；role为INTEGER，related_role_id为STRING；编码和实体类型未验证，不能由角色推出论文资助关系。
institutions,区分期刊主办机构与论文作者所属机构,sources > institutions OR sources > works > works_authorships_affiliations > institutions,sources.host_organization=institutions.id | sources.id=works.primary_source_id; works.id=works_authorships_affiliations.work_id; works_authorships_affiliations.institution_id=institutions.id,建议：先核对主办机构候选路径；作者所属机构只在另定论文汇总口径后使用,next,等号表示候选对应关系而非可直接执行的SQL：先核对sources.host_organization中的I前缀并转换编号；不得将P编号连接机构。 两种机构角色不能混为一列；二者均未在现有CSV中补入institutions实体。
institutions_concepts,机构整体概念分布,sources > institutions > institutions_concepts,sources.host_organization=institutions.id; institutions.id=institutions_concepts.institution_id,待数据补回再作为机构参考列表,blocked,等号表示候选对应关系而非可直接执行的SQL：先核对sources.host_organization中的I前缀并转换编号；不得将P编号连接机构。 保存快照为空；不能据此判定机构没有研究主题。
institutions_counts_by_year,机构整体年度发文与被引统计,sources > institutions > institutions_counts_by_year,sources.host_organization=institutions.id; institutions.id=institutions_counts_by_year.institution_id,参考列表：按机构与年份保留，尚未执行,reference,等号表示候选对应关系而非可直接执行的SQL：先核对sources.host_organization中的I前缀并转换编号；不得将P编号连接机构。 机构全部论文的计数不等于某本期刊论文的机构贡献。
institutions_display_name_acronyms,机构缩写,sources > institutions > institutions_display_name_acronyms,sources.host_organization=institutions.id; institutions.id=institutions_display_name_acronyms.institution_id,字典：按institution_id保留缩写列表，尚未执行,reference,等号表示候选对应关系而非可直接执行的SQL：先核对sources.host_organization中的I前缀并转换编号；不得将P编号连接机构。 缩写可能重名，不用作跨表主键。
institutions_display_name_alternatives,机构其他名称,sources > institutions > institutions_display_name_alternatives,sources.host_organization=institutions.id; institutions.id=institutions_display_name_alternatives.institution_id,字典：按institution_id保留名称列表，尚未执行,reference,等号表示候选对应关系而非可直接执行的SQL：先核对sources.host_organization中的I前缀并转换编号；不得将P编号连接机构。 名称可能重名，不做无证据的模糊匹配。
publishers,期刊出版者实体属性,sources > publishers,sources.host_organization=publishers.id,已执行：按P编号补充单个出版者记录,existing,等号表示候选对应关系而非可直接执行的SQL：先从sources.host_organization严格解析P前缀编号；现有导出已验证该路径。 出版者总发文量属于其全部期刊，不能当成单刊指标。
publishers_alternate_titles,出版者其他名称,sources > publishers > publishers_alternate_titles,sources.host_organization=publishers.id; publishers.id=publishers_alternate_titles.publisher_id,字典：若补回数据，按publisher_id保留名称列表,blocked,等号表示候选对应关系而非可直接执行的SQL：先从sources.host_organization严格解析P前缀编号；现有导出已验证该路径。 保存快照为空；不依靠别名猜测期刊归属。
publishers_concepts,出版者整体概念分布,sources > publishers > publishers_concepts,sources.host_organization=publishers.id; publishers.id=publishers_concepts.publisher_id,字典：若补回数据，保留概念与分值列表,blocked,等号表示候选对应关系而非可直接执行的SQL：先从sources.host_organization严格解析P前缀编号；现有导出已验证该路径。 保存快照为空；出版者概念并非每一本旗下期刊的主题。
publishers_country_codes,出版者国家信息,sources > publishers > publishers_country_codes,sources.host_organization=publishers.id; publishers.id=publishers_country_codes.publisher_id,建议：按publisher_id保留去重国家列表后回连；尚未执行,next,等号表示候选对应关系而非可直接执行的SQL：先从sources.host_organization严格解析P前缀编号；现有导出已验证该路径。 出版者国家与期刊country_code含义不同；不按国家数增加期刊行。
publishers_counts_by_year,出版者整体年度统计,sources > publishers > publishers_counts_by_year,sources.host_organization=publishers.id; publishers.id=publishers_counts_by_year.publisher_id,参考列表：按publisher_id和year保存；尚未执行,reference,等号表示候选对应关系而非可直接执行的SQL：先从sources.host_organization严格解析P前缀编号；现有导出已验证该路径。 真实列名为works_coun；统计覆盖出版者整体，不能作为单刊年度发文量。
publishers_lineages,出版者层级,sources > publishers > publishers_lineages,sources.host_organization=publishers.id; publishers.id=publishers_lineages.publisher_id,建议字典：先验证lineage的编码与方向，再保留层级列表,next,等号表示候选对应关系而非可直接执行的SQL：先从sources.host_organization严格解析P前缀编号；现有导出已验证该路径。 lineage为STRING；检查是否包含自己及重复祖先，不把所有祖先当直接出版者。
publishers_roles,出版者其他实体角色,sources > publishers > publishers_roles,sources.host_organization=publishers.id; publishers.id=publishers_roles.publisher_id,待验证字典：保留角色标签，尚未构建跨实体连接,reference,等号表示候选对应关系而非可直接执行的SQL：先从sources.host_organization严格解析P前缀编号；现有导出已验证该路径。 本表没有related_role_id；role字符串不能直接补出机构或资助者的可靠编号。
sources,期刊主名单与基本属性,sources,,已执行：筛选type=journal并保留原字段；一行一个Source ID,existing,一刊一行指Source ID唯一，不按刊名去重；source还包含仓库等其他类型。
sources_apc_prices,期刊不同币种的APC价格明细,sources > sources_apc_prices,sources.id=sources_apc_prices.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,price为STRING；已发现重复，现有文件原样保留；不可跨币种直接相加。
sources_concepts,期刊与旧概念分类的直接对应,sources > sources_concepts,sources.id=sources_concepts.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,保存快照为空；保留空列表不代表主题信息齐全，也不能用概念替代topics。
sources_counts_by_year,期刊年度发文、开放获取与被引统计,sources > sources_counts_by_year,sources.id=sources_counts_by_year.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,已发现重复，现有文件原样保留；分析前须确定完整记录去重与年份口径。
sources_host_institution_lineage,期刊主办机构层级记录,sources > sources_host_institution_lineage,sources.id=sources_host_institution_lineage.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,保存快照为空；host_institution_lineage为STRING，今后有值时需验证编号格式。
sources_host_institution_lineage_names,期刊主办机构层级名称,sources > sources_host_institution_lineage_names,sources.id=sources_host_institution_lineage_names.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,保存快照为空；名称不能直接作为机构唯一编号。
sources_host_organization_lineage,期刊主办组织层级记录,sources > sources_host_organization_lineage,sources.id=sources_host_organization_lineage.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,已发现重复；层级值为STRING，需识别P或I前缀再考虑关联实体；祖先组织不等于直接主办者。
sources_host_organization_lineage_names,期刊主办组织层级名称,sources > sources_host_organization_lineage_names,sources.id=sources_host_organization_lineage_names.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,保存快照为空；名称不能作为可靠实体连接键。
sources_publisher_lineage,期刊出版者层级记录,sources > sources_publisher_lineage,sources.id=sources_publisher_lineage.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,保存快照为空；publisher_lineage为STRING，需验证编号格式和祖先方向。
sources_publisher_lineage_names,期刊出版者层级名称,sources > sources_publisher_lineage_names,sources.id=sources_publisher_lineage_names.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,保存快照为空；名称不能作为可靠出版者连接键。
sources_societies,期刊关联学会的名称与网址,sources > sources_societies,sources.id=sources_societies.source_id,已执行：先按source_id收成完整记录列表再回连，缺匹配记为[],existing,已发现重复；organization和url不是institution_id，不按近似名称自动连接机构。
subfields,主题所属的子学科,sources > works > topics > subfields,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.subfield=subfields.id,建议：由已验证主要主题映射子学科并汇总，尚未执行,next,核对subfields.field_id和domain_id与topics字段一致性；只映射观测主题。
subfields_display_name_alternatives,子学科其他名称,sources > works > topics > subfields > subfields_display_name_alternatives,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.subfield=subfields.id; subfields.id=subfields_display_name_alternatives.subfield_id,按subfield_id保留字典名称列表,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。
subfields_ids,子学科外部编号,sources > works > topics > subfields > subfields_ids,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.subfield=subfields.id; subfields.id=subfields_ids.subfield_id,按subfield_id保留外部标识字典,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。
subfields_siblings,子学科同层关系,sources > works > topics > subfields > subfields_siblings,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.subfield=subfields.id; subfields.id=subfields_siblings.subfield_id; subfields_siblings.sibling_id=subfields.id,保留字典关系，不扩增期刊子学科,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。 末端实体需要另取别名；同层关系不是期刊归属关系。
subfields_topics,子学科与主题的层级对应,sources > works > topics > subfields > subfields_topics,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.subfield=subfields.id; subfields.id=subfields_topics.subfield_id; subfields_topics.topic_id=topics.id,用于与topics.subfield交叉核对的字典关系,reference,尚未执行；先验证字典键唯一性和层级一致性；字典存在不表示该刊具有全部分类。
topics,论文主要主题及其学科层级,sources > works > topics,sources.id=works.primary_source_id; works.primary_topic_id=topics.id,建议：按指定时间窗将论文主要主题计数汇总到期刊；尚未执行,next,须核对works.primary_topic_id与works_primary_topic一致性；得到的是论文推导主题，不能伪装为原生期刊属性。
topics_ids,主题外部编号,sources > works > topics > topics_ids,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.id=topics_ids.topic_id,字典：按topic_id补充外部编号，尚未执行,reference,topics_ids.openalex为STRING且是外部标识字段；本表连接键为topic_id。
topics_keywords,解释主题含义的关键词,sources > works > topics > topics_keywords,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.id=topics_keywords.topic_id,字典：按topic_id保留关键词列表，尚未执行,reference,主题字典关键词不是该刊论文中实际观测到的关键词频次。
topics_siblings,主题同层关系,sources > works > topics > topics_siblings,sources.id=works.primary_source_id; works.primary_topic_id=topics.id; topics.id=topics_siblings.topic_id; topics_siblings.sibling_id=topics.id,字典：保留同层关系，不增加期刊主题分配,reference,sibling_id指向另一个topics.id，须用别名；不能把兄弟主题自动归到该刊。
works,定义每本期刊的论文范围及派生指标入口,sources > works,sources.id=works.primary_source_id,建议：仅选必要列，先验证primary_source_id，再按期刊汇总；尚未执行,next,期刊层级不要求把论文明细全部导出；年份、文献类型和主发表位置口径需明确；先dry run。
works_authorships,论文与作者的署名关系,sources > works > works_authorships,sources.id=works.primary_source_id; works.id=works_authorships.work_id; works_authorships.author_id=authors.id,可选汇总：先去除完全重复并按论文和作者计数，尚未执行,optional,会议未确定作者指标；作者顺序、通讯标记和重复关系需验证，不直接连接其他多行子表。
works_authorships_affiliation_strings,论文作者原始机构署名文本,sources > works > works_authorships_affiliation_strings,sources.id=works.primary_source_id; works.id=works_authorships_affiliation_strings.work_id,可选保留关系明细，通常不放入单刊宽表,optional,需以work_id和author_id定位作者；原始文本不是机构编号，多条署名会扩增行数。
works_authorships_affiliations,论文作者对应机构的关系,sources > works > works_authorships_affiliations,sources.id=works.primary_source_id; works.id=works_authorships_affiliations.work_id; works_authorships_affiliations.institution_id=institutions.id,可选汇总：按指定分母计算发表机构和国家分布，尚未执行,optional,一位作者可有多个机构；论文作者机构不等于期刊主办机构；不能只按author_id跨论文连接。
works_authorships_array,署名及机构列表的另一种展开形式,sources > works > works_authorships_array,sources.id=works.primary_source_id; works.id=works_authorships_array.work_id,待与其他署名表核对后择一主表示，不并排重复连接,optional,institutions为STRING；本表并非ARRAY类型字段，格式、覆盖率及重复情况待验。
works_best_oa_location,论文最佳开放版本位置,sources > works > works_best_oa_location,sources.id=works.primary_source_id; works.id=works_best_oa_location.id,可选汇总：开放版本可获得性，尚未执行,optional,id是否为work编号需值级核对；source_id可能指仓库，不能替代发表期刊。
works_biblio,论文卷期页码等书目信息,sources > works > works_biblio,sources.id=works.primary_source_id; works.id=works_biblio.id,可选保留论文明细；如提出明确指标再汇总,optional,id是否为work编号需值级核对；卷期页码不是每本期刊唯一属性。
works_concepts,论文与旧概念体系的关系,sources > works > works_concepts,sources.id=works.primary_source_id; works.id=works_concepts.work_id; works_concepts.concept_id=concepts.id,可选汇总：定义年份和计分方式后统计概念分布，尚未执行,optional,与topics是不同体系；多概念覆盖率可超过100%，score不是期刊级分类置信度。
works_counts_by_year,论文逐年被引统计,sources > works > works_counts_by_year,sources.id=works.primary_source_id; works.id=works_counts_by_year.work_id,可选汇总：在选定期刊论文范围内按引用年份累计，尚未执行,optional,year表示该明细中的年度被引统计口径，需语义核对；不能当逐年发表数量。
works_grants,论文与资助者及奖项的关系,sources > works > works_grants,sources.id=works.primary_source_id; works.id=works_grants.work_id; works_grants.funder_id=funders.id,待数据补回后保留关系或定义资助汇总,blocked,保存快照0行；不能据此推断所有论文无资助。
works_ids,论文跨平台编号,sources > works > works_ids,sources.id=works.primary_source_id; works.id=works_ids.openalex,待验证：以openalex候选键补充标识字典，尚未执行,optional,本表没有work_id；不可把mag与works.id视为同一编号；覆盖行数少于works。
works_inverted_abstracts,论文摘要倒排表示,sources > works > works_inverted_abstracts,sources.id=works.primary_source_id; works.id=works_inverted_abstracts.id,可选独立文本明细；有明确文本研究需求时再解析,optional,id语义需值级核对；文本很大，不能为凑齐全部表无目的地加入期刊CSV。
works_keywords,论文关键词与分值,sources > works > works_keywords,sources.id=works.primary_source_id; works.id=works_keywords.work_id,可选汇总：在选定期刊论文范围内计算关键词分布,optional,需明确去重和分母；keyword_id为STRING；论文关键词不同于topics_keywords字典。
works_locations,论文全部存放位置,sources > works > works_locations,sources.id=works.primary_source_id; works.id=works_locations.work_id,可选汇总位置特征；也可用于核对主发表位置,optional,一篇论文可同时在期刊与仓库；不能把所有source_id都当发表期刊。
works_mesh,论文医学主题词及限定词,sources > works > works_mesh,sources.id=works.primary_source_id; works.id=works_mesh.work_id,可选专题汇总：保留适用范围和未覆盖比例,optional,MeSH不覆盖全部学科；缺失不代表论文没有主题，且一文可对应多行。
works_primary_location,论文主位置及来源,sources > works > works_primary_location,sources.id=works.primary_source_id; works.id=works_primary_location.id,建议：先核对id与works.id及source_id与works.primary_source_id，尚未执行,next,id仅为字段名，需值级证据；行数少于works，不能预设全覆盖。
works_primary_topic,论文主要主题与分值,sources > works > works_primary_topic,sources.id=works.primary_source_id; works.id=works_primary_topic.work_id; works_primary_topic.topic_id=topics.id,建议：核对works.primary_topic_id并统计覆盖率，再择一主主题路径,next,须检查每篇唯一性与两套字段一致性；没有主要主题的论文应保留在缺失分母。
works_referenced_works,论文参考文献关系,sources > works > works_referenced_works,sources.id=works.primary_source_id; works.id=works_referenced_works.work_id; works_referenced_works.referenced_work_id=works.id,可选汇总：限定引用方向和样本后计算参考文献特征,optional,referenced_work_id是被引用对象；参考文献数不是该文被引次数；需防重复和无界递归。
works_related_works,算法相关论文关系,sources > works > works_related_works,sources.id=works.primary_source_id; works.id=works_related_works.work_id; works_related_works.related_work=works.id,可选独立关系明细；明确研究目的后再使用,optional,related_work为STRING，格式待验；相关关系不等于引用或同一期刊归属。
works_topics,论文全部主题与分值,sources > works > works_topics,sources.id=works.primary_source_id; works.id=works_topics.work_id; works_topics.topic_id=topics.id,建议核对：作为主要主题之外的多主题方案，尚未执行,next,若选择多主题覆盖率，合计可能超过100%；不能与主要主题份额混称，需明确计分规则。
